timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525807158733229,-3,2,5,-7,9,12,1,-3
1525807158733229,3,5,1,-2,1,-7,1,2
1525807158747205,1,-1,-2,-8,-23,-13,-9,1
1525807158747205,-12,0,0,0,-19,-3,1,-2
1525807158754207,21,4,1,7,26,3,1,6
1525807158754207,-6,-12,-2,-6,-11,2,-2,-6
1525807158770205,7,15,4,0,5,1,6,9
1525807158770205,-16,-12,-1,5,-3,2,-5,-11
1525807158772205,7,5,-4,-13,-11,0,4,7
1525807158772205,-6,0,-1,-5,1,2,1,-2
1525807158784206,0,-3,0,5,-10,-10,-5,-6
1525807158784206,4,1,-1,-4,-3,0,1,12
1525807158793212,-8,-2,-5,-10,-8,8,3,-3
1525807158793212,-2,2,6,13,-3,-11,-7,-1
1525807158807224,0,-4,-3,-8,-1,0,5,1
1525807158807224,1,3,7,14,-4,-3,1,-1
1525807158814206,-2,-8,-21,-28,3,4,-2,0
1525807158814206,2,8,6,14,14,6,0,-1
1525807158829313,-6,-5,0,-6,0,-12,-5,-5
1525807158829313,8,4,9,7,-9,-2,1,2
1525807158838280,4,-2,-6,19,3,-3,8,3
1525807158838280,28,14,12,6,5,13,8,19
1525807158853251,-33,-19,-22,-20,-8,-7,-15,-33
1525807158853251,-11,-1,2,4,-3,3,5,14
1525807158854252,3,4,15,12,-1,5,-12,-5
1525807158854252,3,7,4,-10,-5,4,4,-11
1525807158875278,-16,-8,4,-27,18,6,0,4
1525807158875278,20,8,-1,23,16,18,6,3
1525807158877259,-5,-4,4,0,-6,-8,-4,-2
1525807158877259,-7,-7,2,-1,-14,-11,-8,-8
1525807158889257,-20,-12,-6,-10,-16,-4,-1,-5
1525807158889257,21,14,-2,-16,15,16,-3,2
1525807158896313,-3,1,-3,-8,-11,7,5,-8
1525807158896313,-3,-5,6,23,5,-11,-1,15
1525807158913277,6,10,5,2,7,11,3,-3
1525807158913277,-8,-7,-7,-10,0,-13,-5,-6
1525807158914249,1,-1,2,10,-6,3,-1,-2
1525807158914249,-3,-4,-12,-24,-13,9,9,3
1525807158935260,6,-4,-2,16,12,-6,-3,2
1525807158935260,-7,-5,-6,-8,-13,-6,-4,-4
1525807158937260,1,8,8,-2,-1,-4,1,1
1525807158937260,-6,-6,-7,-6,-8,-4,-8,-10
1525807158949312,7,3,-3,9,5,11,8,11
1525807158949312,4,3,7,8,3,-13,-3,-7
1525807158956277,-4,-4,1,0,2,-8,-5,2
1525807158956277,-15,-6,-12,-10,-8,-3,-4,-7
1525807158973254,21,8,1,16,15,-2,0,6
1525807158973254,-11,-6,-5,-19,-27,0,3,-1
1525807158974253,-2,3,1,2,15,-5,-5,-2
1525807158974253,1,-5,-5,-1,8,-1,-2,-2
1525807158995277,9,-1,-7,-20,-34,-8,-2,-5
1525807158995277,-9,8,5,12,6,4,5,3
1525807158997246,8,-5,-2,7,11,-12,-9,3
1525807158997246,-5,8,3,-2,10,1,0,-9
1525807159009259,4,-2,3,9,2,4,0,8
1525807159009259,-2,-6,-4,-11,-15,-7,-2,-5
1525807159018278,3,1,-1,0,-14,-14,-1,6
1525807159018278,-6,0,-3,-3,7,4,0,-3
1525807159032322,-2,0,2,5,-4,-2,-3,-5
1525807159032322,6,-3,-5,-8,5,4,5,7
1525807159034310,-2,-1,7,8,-2,-3,-1,-3
1525807159034310,-2,-2,-9,-11,-3,-12,-7,-3
1525807159055310,3,2,2,-5,-5,4,7,7
1525807159055310,-2,1,10,33,19,0,-4,-4
1525807159057310,-6,-7,-13,-36,-13,-7,5,-1
1525807159057310,0,1,1,-7,-12,0,1,1
1525807159069306,6,0,2,17,14,-6,-2,-3
1525807159069306,-2,0,3,2,2,0,-5,-1
1525807159078307,1,1,4,-13,-17,-2,2,0
1525807159078307,-4,-8,-6,12,18,2,1,-3
1525807159092310,12,3,3,7,3,16,4,7
1525807159092310,-11,-8,-13,-20,-4,-14,-8,-9
1525807159094310,5,-3,-2,-5,-11,-10,-3,2
1525807159094310,-2,-1,9,15,-4,0,-1,-10
1525807159115376,12,-3,-21,-21,6,-15,-1,8
1525807159115376,-23,-7,-2,-8,3,-1,-10,-12
1525807159117341,12,8,4,12,-17,-11,0,7
1525807159117341,-3,-4,-7,0,7,12,-1,-7
1525807159129342,-3,0,8,10,32,17,7,-13
1525807159129342,13,-1,-4,-8,-2,1,2,20
1525807159138339,-14,-2,-2,29,9,-1,-8,-17
1525807159138339,2,3,4,-12,4,1,-6,6
1525807159152320,-1,4,5,16,-6,-9,0,2
1525807159152320,-6,-3,-5,-6,0,4,-1,-12
1525807159154319,1,3,7,-8,-8,6,3,4
1525807159154319,-1,-2,-7,21,9,-20,-2,2
1525807159175338,-9,-1,4,-13,-26,-2,-6,-1
1525807159175338,1,0,2,11,7,19,4,1
1525807159177321,-4,-4,-3,3,-1,-16,-10,-4
1525807159177321,10,9,4,-10,1,9,8,7
1525807159197361,-3,-2,0,6,-2,-7,-3,0
1525807159197361,5,3,3,4,-9,-7,-2,-2
1525807159205308,2,-3,-5,-11,26,22,3,1
1525807159205308,-1,-2,-1,0,-10,-29,1,-1
1525807159212412,-4,-6,-3,1,12,11,-2,-2
1525807159212412,-13,-1,0,0,15,0,3,-5
1525807159219405,20,3,-2,-6,-14,0,-1,7
1525807159219405,-3,-3,0,-6,-13,11,0,1
1525807159235391,-8,1,0,6,9,-5,-3,-2
1525807159235391,9,7,7,11,22,4,3,-2
1525807159237417,-2,2,-3,-2,2,4,7,6
1525807159237417,-1,7,-1,-6,-9,8,1,0
1525807159248409,-2,-7,-3,-12,-13,2,1,1
1525807159248409,-16,-9,-6,0,-9,-14,-9,-8
1525807159258440,-3,-3,-5,-2,-17,-1,1,-2
1525807159258440,-4,4,5,0,19,7,-3,-5
1525807159272458,3,-2,-1,1,-4,1,4,4
1525807159272458,10,3,-1,-8,-10,-5,-1,3
1525807159279427,-7,-5,-2,-1,1,5,3,-3
1525807159279427,-1,-1,0,-2,-13,-9,-7,-2
1525807159294494,-1,2,-1,2,-1,-4,-1,-1
1525807159294494,3,-2,-1,3,2,1,3,0
1525807159295447,-3,0,-2,-14,-21,-11,-5,-2
1525807159295447,-3,-6,-4,10,13,10,3,-1
1525807159317493,-2,2,3,-11,-8,-3,-2,-1
1525807159317493,7,3,0,4,-6,-8,-4,4
1525807159318440,-9,-1,1,4,7,-2,1,-5
1525807159318440,4,-4,3,5,6,3,1,5
1525807159331495,-6,0,-2,-5,-13,-7,-5,-6
1525807159331495,3,-2,-2,-6,0,0,2,3
1525807159339460,-1,-4,2,2,2,4,4,4
1525807159339460,-3,-1,-6,-7,-3,-4,0,-10
1525807159354460,1,4,1,8,10,3,-4,-5
1525807159354460,14,7,11,12,-8,-16,3,6
1525807159355459,-21,-12,-5,-3,4,6,-9,-17
1525807159355459,23,2,8,31,-9,-21,1,27
1525807159377459,-37,-5,3,-10,-12,13,1,-19
1525807159377459,8,6,-5,-6,28,-7,-2,-7
1525807159377459,-3,0,8,-3,11,18,2,15
1525807159377459,15,1,-4,7,-3,21,9,15
1525807159391441,-2,-9,-15,-3,-16,9,-2,-5
1525807159391441,9,4,-3,-11,3,-21,-2,5
1525807159399448,-14,-5,-2,-9,-21,-19,-6,-16
1525807159399448,-3,-3,-2,-6,9,2,3,-4
1525807159414460,14,-2,2,4,-3,-8,0,12
1525807159414460,-27,-9,-7,-11,-20,20,-1,-15
1525807159415443,16,6,-1,4,7,-8,1,4
1525807159415443,-12,-3,-3,-9,-12,-8,-3,-5
1525807159437442,3,2,0,0,-3,-24,-7,-2
1525807159437442,-3,-4,-2,2,18,9,-1,0
1525807159437442,11,6,4,8,13,10,2,3
1525807159437442,-10,-1,-2,-7,1,-5,-2,-10
1525807159451459,-3,1,-1,3,6,5,0,-1
1525807159451459,5,-4,-6,-7,-15,10,6,7
1525807159459437,-2,-1,2,8,16,9,2,2
1525807159459437,0,6,1,-6,11,1,-3,-5
1525807159474494,11,3,0,1,1,2,4,8
1525807159474494,-9,-7,0,-3,-8,0,-4,-5
1525807159475429,-13,-9,-10,-7,-16,-11,-1,-5
1525807159475429,19,1,3,3,14,0,-4,1
1525807159497495,-16,-3,3,-2,4,-2,-3,-7
1525807159497495,2,3,1,16,-3,2,2,7
1525807159497495,-3,4,-2,-3,9,5,2,-6
1525807159497495,-6,1,0,-3,-14,-9,-4,1
