timestamp,roll,pitch,yaw
1525807147955829,0.0271436,-0.358692,0.362544
1525807147978809,0.0280692,-0.357042,0.363989
1525807148000820,0.0268797,-0.357172,0.363445
1525807148021813,0.0273147,-0.358583,0.362378
1525807148038813,0.0222459,-0.359568,0.362937
1525807148060809,0.0178752,-0.360777,0.362873
1525807148081831,0.0218174,-0.36126,0.362933
1525807148098833,0.0270086,-0.360966,0.363121
1525807148120811,0.02796,-0.360632,0.363064
1525807148141830,0.0252309,-0.360487,0.362912
1525807148165797,0.0232219,-0.360405,0.363656
1525807148186813,0.0232219,-0.360405,0.363656
1525807148201802,0.0238298,-0.359926,0.364303
1525807148218813,0.0262756,-0.359166,0.365479
1525807148240823,0.0275299,-0.35805,0.366003
1525807148261813,0.0269349,-0.357169,0.365953
1525807148278894,0.0261551,-0.357994,0.365222
1525807148300870,0.0212041,-0.358846,0.365254
1525807148321879,0.019977,-0.35938,0.365241
1525807148338868,0.0233686,-0.359218,0.364738
1525807148361878,0.0272928,-0.358687,0.364536
1525807148381878,0.0294034,-0.35832,0.364406
1525807148398868,0.0275592,-0.358097,0.36435
1525807148420875,0.0253219,-0.35796,0.364998
1525807148441899,0.0244899,-0.358623,0.366179
1525807148458908,0.0248031,-0.358719,0.367128
1525807148480885,0.0274725,-0.357748,0.368017
1525807148503870,0.0288909,-0.356494,0.367747
1525807148518906,0.0290679,-0.355358,0.36718
1525807148540868,0.0256786,-0.356234,0.366929
1525807148563868,0.0212048,-0.35728,0.366861
1525807148577880,0.0203562,-0.358004,0.36666
1525807148600875,0.0246758,-0.357517,0.366239
1525807148623899,0.0296764,-0.356561,0.366093
1525807148637941,0.0297495,-0.356566,0.365711
1525807148660942,0.0267331,-0.356772,0.36612
1525807148684005,0.0251304,-0.35712,0.366898
1525807148697999,0.0249446,-0.357505,0.367581
1525807148721068,0.0277481,-0.357069,0.368585
1525807148744090,0.0300537,-0.355514,0.369276
1525807148758062,0.0320064,-0.354983,0.368801
1525807148781081,0.030993,-0.35538,0.367737
1525807148804100,0.0267642,-0.356316,0.367112
1525807148818094,0.0255825,-0.356956,0.366701
1525807148841064,0.0277233,-0.357095,0.366571
1525807148871081,0.0312312,-0.357143,0.366719
1525807148878077,0.0326674,-0.357163,0.367077
